               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.028771,            0.010999,            0.011671,             0.67497,             0.81818,             0.74602,             0.45109,            0.026885,           0.0055652,           0.0094763,            0.003598,            0.003598,            0.003598
                  99,            0.026816,             0.01109,           0.0094499,             0.54385,             0.77273,              0.6141,             0.35658,            0.028336,            0.005674,            0.011072,            0.003532,            0.003532,            0.003532
                 100,            0.027286,            0.011017,            0.012985,             0.82898,             0.67032,              0.7176,             0.41763,            0.027896,           0.0055138,            0.010213,            0.003466,            0.003466,            0.003466
                 101,            0.028548,              0.0103,           0.0099544,             0.61501,             0.71616,             0.65911,             0.40422,            0.029296,           0.0053859,            0.012342,              0.0034,              0.0034,              0.0034
                 102,             0.02756,            0.011419,            0.010036,             0.64121,             0.71616,             0.64598,             0.39709,            0.029499,           0.0054131,            0.012175,            0.003334,            0.003334,            0.003334
                 103,            0.024773,            0.010449,           0.0099764,             0.54046,             0.85253,             0.68032,              0.4138,            0.028196,            0.005665,            0.011192,            0.003268,            0.003268,            0.003268
                 104,            0.024586,            0.010933,            0.011661,             0.81839,              0.6596,             0.72182,             0.43683,            0.026458,           0.0055995,           0.0099397,            0.003202,            0.003202,            0.003202
                 105,            0.025094,             0.01049,           0.0095907,             0.76956,             0.71571,             0.75574,             0.45883,            0.026654,           0.0055237,           0.0092315,            0.003136,            0.003136,            0.003136
                 106,            0.025836,             0.01135,           0.0094645,             0.73918,             0.68008,             0.72188,             0.44528,            0.027581,           0.0054713,           0.0089335,             0.00307,             0.00307,             0.00307
                 107,             0.02431,           0.0096762,           0.0087498,             0.68311,             0.65962,             0.70947,             0.43632,            0.027688,           0.0054973,            0.011304,            0.003004,            0.003004,            0.003004
                 108,            0.025481,            0.010546,            0.008266,             0.66324,             0.68264,             0.69806,             0.44234,            0.028587,           0.0054105,             0.01133,            0.002938,            0.002938,            0.002938
